theta_sat,theta_res,vGn_alpha,vGn_n 
0.354741,0.038552,-0.702234,2.983795
0.554099,0.091813,-0.648718,1.339251
0.325343,0.054731,-0.628840,1.584087
0.362379,0.052863,-0.323481,1.201885
0.335079,0.077123,-0.692243,1.152956
0.566961,0.031771,-0.058337,1.730712
0.487467,0.068806,-0.865138,1.032370
0.505988,0.043228,-0.577992,2.403472
0.596629,0.033959,-0.992571,2.018418
0.460616,0.060310,-0.176661,2.709701
0.536681,0.019519,-0.954956,1.144179
0.469934,0.074609,-0.577218,2.143947
0.410891,0.075851,-0.267104,2.722928
0.366878,0.071790,-0.509986,2.283262
0.508087,0.001106,-0.158086,1.131666
0.448160,0.038450,-0.887637,2.799561
0.426498,0.006227,-0.386937,1.101956
0.307914,0.046618,-0.969553,1.333954
0.593318,0.082328,-0.900438,1.668386
0.437622,0.095356,-0.080729,2.400691
0.434166,0.063167,-0.424795,2.141557
0.329898,0.065992,-0.692600,1.029401
0.480786,0.085383,-0.882182,1.731817
0.369221,0.019601,-0.309521,1.477045
0.362406,0.028619,-0.338985,2.201338
0.550385,0.077098,-0.251710,2.425003
0.325983,0.014516,-0.920965,2.916111
0.489494,0.021327,-0.225605,1.109633
0.366357,0.032353,-0.858613,1.690792
0.310664,0.093422,-0.418216,1.268425
0.441982,0.041289,-0.611417,2.424430
0.455366,0.083849,-0.133977,1.499315
0.563414,0.036018,-0.774261,1.212963
0.489133,0.001344,-0.155876,1.562149
0.357370,0.014232,-0.023184,2.158382
0.581222,0.094395,-0.373064,1.873962
0.507321,0.011718,-0.172522,1.267037
0.594919,0.007690,-0.852471,1.981497
0.397290,0.073010,-0.584682,1.731138
0.597533,0.098108,-0.884794,2.297715
0.429817,0.072874,-0.782271,2.824810
0.493701,0.044873,-0.411306,2.566581
0.336457,0.074263,-0.609705,1.042738
0.477348,0.021027,-0.469451,2.040996
0.562625,0.045274,-0.019766,2.068843
0.519522,0.003668,-0.280048,1.499861
0.528483,0.088142,-0.584827,1.713347
0.533236,0.037132,-0.365107,1.802622
0.389361,0.050158,-0.268811,2.807579
0.396608,0.017902,-0.669554,2.645895
0.562169,0.021834,-0.586083,1.479628
0.588030,0.046735,-0.080844,1.403279
0.447762,0.072677,-0.261852,2.378271
0.403717,0.098429,-0.019472,2.410801
0.349249,0.036746,-0.538571,1.277358
0.490699,0.054331,-0.608710,2.061572
0.374273,0.045776,-0.724640,2.112382
