theta_sat,theta_res,vGn_alpha,vGn_n 
0.444803,0.027574,-0.784195,1.738290
0.335635,0.026691,-0.888372,1.963921
0.568782,0.075789,-0.077772,1.164187
0.365931,0.019044,-0.847001,2.856575
0.385866,0.059632,-0.903944,2.782024
0.387771,0.056436,-0.638076,1.800340
0.499509,0.054777,-0.876759,2.745876
0.456367,0.012762,-0.285612,1.272673
0.446499,0.074533,-0.015989,1.429541
0.540014,0.027681,-0.423371,1.473529
0.477928,0.030142,-0.022639,2.992948
0.319879,0.032374,-0.866537,2.402658
0.334725,0.045106,-0.320498,2.890137
0.596587,0.026768,-0.531594,2.221849
0.560593,0.045164,-0.705121,2.524315
0.358053,0.072834,-0.219285,1.421447
0.594599,0.087824,-0.382579,1.137202
0.393497,0.028254,-0.531034,1.107200
0.590138,0.045314,-0.977491,2.081296
0.476549,0.081191,-0.412856,1.766203
0.555944,0.058000,-0.309170,1.911548
0.375628,0.068886,-0.870950,1.404628
0.391884,0.093129,-0.330510,2.054674
0.304216,0.003604,-0.847758,2.671955
0.372257,0.090889,-0.460703,2.889843
0.593803,0.062625,-0.510319,2.787361
0.541172,0.079124,-0.582915,1.447109
0.385408,0.050406,-0.438903,2.923253
0.327798,0.037215,-0.121050,1.375529
0.568420,0.043971,-0.762040,2.952497
0.581004,0.031928,-0.394566,2.552217
0.371194,0.038207,-0.188555,2.819518
0.374265,0.056716,-0.406932,2.165532
0.304727,0.027443,-0.803793,2.311910
0.300757,0.022984,-0.470374,1.218821
0.595996,0.033092,-0.027250,1.486788
0.551864,0.004964,-0.215078,1.126103
0.588151,0.025646,-0.314646,2.063390
0.393273,0.002843,-0.139097,2.471575
0.459513,0.078125,-0.781904,1.039641
0.388738,0.023638,-0.964848,1.912955
0.463790,0.049211,-0.869357,1.030264
0.325652,0.057327,-0.625426,1.208310
0.312634,0.081954,-0.902454,2.064831
0.525116,0.015261,-0.361977,2.116747
0.383568,0.081006,-0.341079,2.946355
0.432577,0.066949,-0.016993,2.969645
0.515048,0.098486,-0.408275,1.692300
0.385375,0.044878,-0.359302,1.236448
0.340675,0.064908,-0.947919,1.292650
0.368704,0.051016,-0.452477,1.764018
0.498911,0.045693,-0.301019,1.447222
0.359217,0.034295,-0.595911,1.824992
0.534816,0.024628,-0.597717,2.735450
