theta_sat,theta_res,vGn_alpha,vGn_n 
0.354741,0.027574,-0.702234,2.983795
0.554099,0.026691,-0.648718,1.339251
0.325343,0.075789,-0.628840,1.584087
0.362379,0.019044,-0.323481,1.201885
0.335079,0.059632,-0.692243,1.152956
0.566961,0.056436,-0.058337,1.730712
0.487467,0.054777,-0.865138,1.032370
0.505988,0.012762,-0.577992,2.403472
0.596629,0.074533,-0.992571,2.018418
0.460616,0.027681,-0.176661,2.709701
0.536681,0.030142,-0.954956,1.144179
0.469934,0.032374,-0.577218,2.143947
0.410891,0.045106,-0.267104,2.722928
0.366878,0.026768,-0.509986,2.283262
0.508087,0.045164,-0.158086,1.131666
0.448160,0.072834,-0.887637,2.799561
0.426498,0.087824,-0.386937,1.101956
0.307914,0.028254,-0.969553,1.333954
0.593318,0.045314,-0.900438,1.668386
0.437622,0.081191,-0.080729,2.400691
0.434166,0.058000,-0.424795,2.141557
0.329898,0.068886,-0.692600,1.029401
0.480786,0.093129,-0.882182,1.731817
0.369221,0.003604,-0.309521,1.477045
0.362406,0.090889,-0.338985,2.201338
0.550385,0.062625,-0.251710,2.425003
0.325983,0.079124,-0.920965,2.916111
0.489494,0.050406,-0.225605,1.109633
0.366357,0.037215,-0.858613,1.690792
0.310664,0.043971,-0.418216,1.268425
0.441982,0.031928,-0.611417,2.424430
0.455366,0.038207,-0.133977,1.499315
0.563414,0.056716,-0.774261,1.212963
0.489133,0.027443,-0.155876,1.562149
0.357370,0.022984,-0.023184,2.158382
0.581222,0.033092,-0.373064,1.873962
0.507321,0.004964,-0.172522,1.267037
0.594919,0.025646,-0.852471,1.981497
0.397290,0.002843,-0.584682,1.731138
0.597533,0.078125,-0.884794,2.297715
0.429817,0.023638,-0.782271,2.824810
0.493701,0.049211,-0.411306,2.566581
0.336457,0.057327,-0.609705,1.042738
0.477348,0.081954,-0.469451,2.040996
0.562625,0.015261,-0.019766,2.068843
0.519522,0.081006,-0.280048,1.499861
0.528483,0.066949,-0.584827,1.713347
0.533236,0.098486,-0.365107,1.802622
0.389361,0.044878,-0.268811,2.807579
0.396608,0.064908,-0.669554,2.645895
0.562169,0.051016,-0.586083,1.479628
0.588030,0.045693,-0.080844,1.403279
0.447762,0.034295,-0.261852,2.378271
0.403717,0.024628,-0.019472,2.410801
0.349249,0.006560,-0.538571,1.277358
0.490699,0.093328,-0.608710,2.061572
0.374273,0.098661,-0.724640,2.112382
0.471014,0.050737,-0.113079,1.746604
0.351857,0.045624,-0.960068,1.269182
0.339539,0.014600,-0.560444,2.118236
0.560965,0.007049,-0.292431,2.454198
0.441201,0.011591,-0.716538,2.992583
0.586204,0.011175,-0.257114,2.021652
