theta_sat,theta_res,vGn_alpha,vGn_n
0.378463,0.058255,-0.594664,1.244396
0.579061,0.055748,-0.164292,1.168996
0.315666,0.003589,-0.645441,2.490204
0.552693,0.028304,-0.226315,1.327377
0.514463,0.015092,-0.850000,2.257153
0.481825,0.009523,-0.958052,2.547120
0.596612,0.023601,-0.337796,1.220985
0.366050,0.073052,-0.654927,1.500703
0.393537,0.078643,-0.989116,2.866858
0.435467,0.066266,-0.357424,1.816416
0.332249,0.038955,-0.021925,1.612358
0.546352,0.069649,-0.473856,2.956217
0.324857,0.097187,-0.407418,1.406281
0.337061,0.094282,-0.115638,2.636805
0.568255,0.066646,-0.995315,2.532401
0.355706,0.071364,-0.487636,2.689003
0.450562,0.063503,-0.812594,1.471758
0.409746,0.080219,-0.372037,2.113842
0.527536,0.082267,-0.405069,2.136606
0.510146,0.021918,-0.888398,2.035456
0.420661,0.016797,-0.942950,2.966220
0.322991,0.034028,-0.717685,1.838006
0.557717,0.043503,-0.016243,2.456249
0.466324,0.008469,-0.188082,1.491908
0.396891,0.053268,-0.548137,1.754541
0.432795,0.014697,-0.935673,2.902028
0.439064,0.090983,-0.579937,2.291151
0.504119,0.013582,-0.796031,2.439889
0.311309,0.004696,-0.484850,1.784539
0.460424,0.076415,-0.063531,2.269085
0.590548,0.041308,-0.833321,1.437877
0.470123,0.026080,-0.099216,1.719325
0.492449,0.051397,-0.147339,2.779824
0.375245,0.091314,-0.675991,2.312786
0.417417,0.030797,-0.242702,1.021238
0.387464,0.081989,-0.095042,2.799180
0.532849,0.089893,-0.508004,1.570626
0.392588,0.018446,-0.447994,1.643137
0.538060,0.058968,-0.332041,2.379691
0.307194,0.007418,-0.418179,1.698423
0.592750,0.037771,-0.571436,1.119261
0.543111,0.036274,-0.269779,1.919667
0.571774,0.035254,-0.970527,1.387654
0.519124,0.061494,-0.828967,2.470951
0.475200,0.029314,-0.963005,2.720384
0.347705,0.020602,-0.211405,1.197291
0.447110,0.085735,-0.876820,1.998715
0.584442,0.006894,-0.432409,1.669151
0.304969,0.025017,-0.921511,1.639924
0.523991,0.069177,-0.775608,2.807443
0.430540,0.023773,-0.287476,2.591378
0.426504,0.021411,-0.076331,2.004609
0.411336,0.065019,-0.054961,1.303494
0.349079,0.032814,-0.783443,2.607663
0.425385,0.044779,-0.903330,2.934449
0.535459,0.077241,-0.233022,2.410347
0.339206,0.048731,-0.689084,1.281105
0.472440,0.061347,-0.740655,2.068089
0.479162,0.045767,-0.394922,1.072493
0.599757,0.002546,-0.125322,2.385206
0.464745,0.017390,-0.313065,2.665569
0.357899,0.096178,-0.177961,2.986866
0.509936,0.046669,-0.261610,2.643084
0.518940,0.027642,-0.730118,1.921007
0.385309,0.048303,-0.249373,1.274413
0.374574,0.098976,-0.195688,2.506202
0.320558,0.051576,-0.047546,1.854472
0.495730,0.054767,-0.609329,1.085704
0.416052,0.075733,-0.347695,1.357037
0.498533,0.004980,-0.743921,2.155993
0.314917,0.074939,-0.079881,1.876150
0.561916,0.095483,-0.524128,2.575001
0.550695,0.074085,-0.032015,1.215937
0.335925,0.010893,-0.317927,1.148859
0.586154,0.063156,-0.766037,2.059153
0.485688,0.084555,-0.617429,2.344968
0.405795,0.029869,-0.302307,1.970202
0.370243,0.036780,-0.758076,1.882884
0.564269,0.068095,-0.541001,1.773610
0.399964,0.050116,-0.701195,2.169482
0.456494,0.079750,-0.436700,1.019308
0.383097,0.012424,-0.556572,2.099913
0.490708,0.019151,-0.870290,2.202002
0.455099,0.088892,-0.708898,1.598696
0.573878,0.011755,-0.586984,2.826613
0.351336,0.060352,-0.914058,1.371584
0.344448,0.001912,-0.854156,1.545838
0.365943,0.044244,-0.502236,1.443591
0.488153,0.083291,-0.624481,2.230721
0.502716,0.087648,-0.530380,2.336924
0.300769,0.039929,-0.158401,2.880912
0.442810,0.031778,-0.667675,2.746535
0.578240,0.070874,-0.893781,1.053900
0.445151,0.042324,-0.278092,1.948185
0.403416,0.087056,-0.638958,1.136252
0.540573,0.099164,-0.811866,2.847099
0.327201,0.092743,-0.198715,1.531442
0.361533,0.056674,-0.132796,1.735694
0.529537,0.093573,-0.380311,2.183722
0.559433,0.053855,-0.456967,2.714788
