theta_sat,theta_res,vGn_alpha,vGn_n 
0.354741,0.038552,-0.702234,1.738290
0.554099,0.091813,-0.648718,1.963921
0.325343,0.054731,-0.628840,1.164187
0.362379,0.052863,-0.323481,2.856575
0.335079,0.077123,-0.692243,2.782024
0.566961,0.031771,-0.058337,1.800340
0.487467,0.068806,-0.865138,2.745876
0.505988,0.043228,-0.577992,1.272673
0.596629,0.033959,-0.992571,1.429541
0.460616,0.060310,-0.176661,1.473529
0.536681,0.019519,-0.954956,2.992948
0.469934,0.074609,-0.577218,2.402658
0.410891,0.075851,-0.267104,2.890137
0.366878,0.071790,-0.509986,2.221849
0.508087,0.001106,-0.158086,2.524315
0.448160,0.038450,-0.887637,1.421447
0.426498,0.006227,-0.386937,1.137202
0.307914,0.046618,-0.969553,1.107200
0.593318,0.082328,-0.900438,2.081296
0.437622,0.095356,-0.080729,1.766203
0.434166,0.063167,-0.424795,1.911548
0.329898,0.065992,-0.692600,1.404628
0.480786,0.085383,-0.882182,2.054674
0.369221,0.019601,-0.309521,2.671955
0.362406,0.028619,-0.338985,2.889843
0.550385,0.077098,-0.251710,2.787361
0.325983,0.014516,-0.920965,1.447109
0.489494,0.021327,-0.225605,2.923253
0.366357,0.032353,-0.858613,1.375529
0.310664,0.093422,-0.418216,2.952497
0.441982,0.041289,-0.611417,2.552217
0.455366,0.083849,-0.133977,2.819518
0.563414,0.036018,-0.774261,2.165532
0.489133,0.001344,-0.155876,2.311910
0.357370,0.014232,-0.023184,1.218821
0.581222,0.094395,-0.373064,1.486788
0.507321,0.011718,-0.172522,1.126103
0.594919,0.007690,-0.852471,2.063390
0.397290,0.073010,-0.584682,2.471575
0.597533,0.098108,-0.884794,1.039641
0.429817,0.072874,-0.782271,1.912955
0.493701,0.044873,-0.411306,1.030264
0.336457,0.074263,-0.609705,1.208310
0.477348,0.021027,-0.469451,2.064831
0.562625,0.045274,-0.019766,2.116747
0.519522,0.003668,-0.280048,2.946355
0.528483,0.088142,-0.584827,2.969645
0.533236,0.037132,-0.365107,1.692300
0.389361,0.050158,-0.268811,1.236448
0.396608,0.017902,-0.669554,1.292650
0.562169,0.021834,-0.586083,1.764018
0.588030,0.046735,-0.080844,1.447222
0.447762,0.072677,-0.261852,1.824992
0.403717,0.098429,-0.019472,2.735450
0.349249,0.036746,-0.538571,1.016610
0.490699,0.054331,-0.608710,2.668899
0.374273,0.045776,-0.724640,1.487410
0.471014,0.032046,-0.113079,2.845600
0.351857,0.094935,-0.960068,1.211531
0.339539,0.023114,-0.560444,1.738048
0.560965,0.005125,-0.292431,1.799677
0.441201,0.082075,-0.716538,1.037829
0.586204,0.044249,-0.257114,2.800875
0.544642,0.074667,-0.794959,1.669825
0.587382,0.042410,-0.459135,2.985056
0.462700,0.020910,-0.316336,1.602612
0.479873,0.043940,-0.309822,2.475855
0.401203,0.026035,-0.231648,2.891719
0.528802,0.015642,-0.703153,2.181297
0.554334,0.032766,-0.723082,2.416227
0.453239,0.048891,-0.750117,1.701520
0.416280,0.037486,-0.153825,2.909064
0.591990,0.060976,-0.140179,1.175647
0.385074,0.068555,-0.034593,1.936099
0.373443,0.041155,-0.380447,2.046498
0.313049,0.088205,-0.619849,2.923921
0.535260,0.030721,-0.264052,2.621919
0.456484,0.061187,-0.338474,2.431281
0.565257,0.066301,-0.034321,2.034210
0.420792,0.062106,-0.832279,2.193785
0.491280,0.024296,-0.852014,1.119798
0.559903,0.021364,-0.254093,1.297285
0.518642,0.081998,-0.149230,1.867783
0.496755,0.065917,-0.538821,1.260541
0.316936,0.047404,-0.565612,2.716694
0.466699,0.015969,-0.532125,1.476323
0.523698,0.099667,-0.888832,2.179403
0.420665,0.003986,-0.150248,2.308362
0.316145,0.078961,-0.823383,2.896883
0.311224,0.082978,-0.280340,1.009469
0.533505,0.060882,-0.285956,1.412074
0.533775,0.041314,-0.654401,1.493892
0.498066,0.007998,-0.269428,1.499291
0.374465,0.025928,-0.322212,2.233917
0.437025,0.009903,-0.387178,1.575380
0.456092,0.069655,-0.085775,1.637471
0.515835,0.024664,-0.811734,1.871244
0.337607,0.065134,-0.800979,2.000504
0.525214,0.088347,-0.304495,2.448831
0.429294,0.017302,-0.566880,2.720986
0.424620,0.033438,-0.628092,1.307049
0.494709,0.047635,-0.788401,2.953918
0.345034,0.018076,-0.500538,2.143395
0.396190,0.065695,-0.070375,1.746362
0.535398,0.014213,-0.489383,2.062261
0.315358,0.013142,-0.718111,1.950086
