theta_sat,theta_res,vGn_alpha,vGn_n
0.313916,0.024928,-0.400103,2.415039
0.463916,0.074428,-0.895103,1.415039
0.388916,0.099178,-0.152603,1.915039
0.538916,0.049678,-0.647603,2.915039
0.351416,0.062053,-0.523853,1.665039
0.501416,0.012553,-0.028853,2.665039
0.426416,0.037303,-0.771353,2.165039
0.576416,0.086803,-0.276353,1.165039
0.332666,0.080616,-0.833228,2.790039
0.482666,0.031116,-0.338228,1.790039
0.407666,0.006366,-0.585728,1.290039
0.557666,0.055866,-0.090728,2.290039
0.370166,0.043491,-0.214478,1.040039
0.520166,0.092991,-0.709478,2.040039
0.445166,0.068241,-0.461978,2.540039
0.595166,0.018741,-0.956978,1.540039
0.309229,0.048131,-0.972446,1.258789
0.459229,0.097631,-0.477446,2.258789
0.384229,0.072881,-0.724946,2.758789
0.534229,0.023381,-0.229946,1.758789
0.346729,0.085256,-0.106196,2.508789
0.496729,0.035756,-0.601196,1.508789
0.421729,0.011006,-0.353696,1.008789
0.571729,0.060506,-0.848696,2.008789
0.327979,0.054319,-0.291821,1.883789
0.477979,0.004819,-0.786821,2.883789
0.402979,0.029569,-0.044321,2.383789
0.552979,0.079069,-0.539321,1.383789
0.365479,0.017194,-0.663071,2.133789
0.515479,0.066694,-0.168071,1.133789
0.440479,0.091444,-0.910571,1.633789
0.590479,0.041944,-0.415571,2.633789
0.318604,0.094538,-0.570259,1.196289
0.468604,0.045038,-0.075259,2.196289
0.393604,0.020288,-0.817759,2.696289
0.543604,0.069788,-0.322759,1.696289
0.356104,0.032663,-0.446509,2.946289
0.506104,0.082163,-0.941509,1.946289
0.431104,0.057413,-0.199009,1.446289
0.581104,0.007913,-0.694009,2.446289
0.337354,0.001725,-0.137134,1.571289
0.487354,0.051225,-0.632134,2.571289
0.412354,0.075975,-0.384634,2.071289
0.562354,0.026475,-0.879634,1.071289
0.374854,0.063600,-0.755884,2.321289
0.524854,0.014100,-0.260884,1.321289
0.449854,0.038850,-0.508384,1.821289
0.599854,0.088350,-0.013384,2.821289
0.300073,0.094175,-0.011208,1.481934
0.450073,0.044675,-0.506208,2.481934
0.375073,0.019925,-0.258708,2.981934
0.525073,0.069425,-0.753708,1.981934
0.337573,0.032300,-0.877458,2.731934
0.487573,0.081800,-0.382458,1.731934
0.412573,0.057050,-0.629958,1.231934
0.562573,0.007550,-0.134958,2.231934
0.318823,0.001363,-0.691833,1.856934
0.468823,0.050863,-0.196833,2.856934
0.393823,0.075613,-0.939333,2.356934
0.543823,0.026113,-0.444333,1.356934
0.356323,0.063238,-0.320583,2.106934
0.506323,0.013738,-0.815583,1.106934
0.431323,0.038488,-0.073083,1.606934
0.581323,0.087988,-0.568083,2.606934
0.309448,0.047769,-0.413396,1.044434
0.459448,0.097269,-0.908396,2.044434
0.384448,0.072519,-0.165896,2.544434
0.534448,0.023019,-0.660896,1.544434
0.346948,0.084894,-0.537146,2.794434
0.496948,0.035394,-0.042146,1.794434
0.421948,0.010644,-0.784646,1.294434
0.571948,0.060144,-0.289646,2.294434
0.328198,0.053956,-0.846521,1.669434
0.478198,0.004456,-0.351521,2.669434
0.403198,0.029206,-0.599021,2.169434
0.553198,0.078706,-0.104021,1.169434
0.365698,0.016831,-0.227771,2.419434
0.515698,0.066331,-0.722771,1.419434
0.440698,0.091081,-0.475271,1.919434
0.590698,0.041581,-0.970271,2.919434
0.304761,0.024566,-0.954802,2.138184
0.454761,0.074066,-0.459802,1.138184
0.379761,0.098816,-0.707302,1.638184
0.529761,0.049316,-0.212302,2.638184
0.342261,0.061691,-0.088552,1.888184
0.492261,0.012191,-0.583552,2.888184
0.417261,0.036941,-0.336052,2.388184
0.567261,0.086441,-0.831052,1.388184
0.323511,0.080253,-0.274177,2.513184
0.473511,0.030753,-0.769177,1.513184
0.398511,0.006003,-0.026677,1.013184
0.548511,0.055503,-0.521677,2.013184
0.361011,0.043128,-0.645427,1.263184
0.511011,0.092628,-0.150427,2.263184
0.436011,0.067878,-0.892927,2.763184
0.586011,0.018378,-0.397927,1.763184
0.314136,0.070972,-0.614490,2.325684
0.464136,0.021472,-0.119490,1.325684
0.389136,0.046222,-0.861990,1.825684
0.539136,0.095722,-0.366990,2.825684
