theta_sat,theta_res,vGn_alpha,vGn_n
0.538037,0.023961,-0.991782,2.139648
0.388037,0.073461,-0.496782,1.139648
0.463037,0.098211,-0.744282,1.639648
0.313037,0.048711,-0.249282,2.639648
0.425537,0.011586,-0.620532,2.889648
0.575537,0.061086,-0.125532,1.889648
0.350537,0.085836,-0.868032,1.389648
0.500537,0.036336,-0.373032,2.389648
0.594287,0.017774,-0.558657,1.014648
0.444287,0.067274,-0.063657,2.014648
0.519287,0.092024,-0.806157,2.514648
0.369287,0.042524,-0.311157,1.514648
0.406787,0.005399,-0.929907,1.764648
0.556787,0.054899,-0.434907,2.764648
0.331787,0.079649,-0.682407,2.264648
0.481787,0.030149,-0.187407,1.264648
0.448975,0.062633,-0.728813,1.483398
0.598975,0.013133,-0.233813,2.483398
0.373975,0.037883,-0.976313,2.983398
0.523975,0.087383,-0.481313,1.983398
0.561475,0.075008,-0.852563,1.733398
0.411475,0.025508,-0.357563,2.733398
0.486475,0.050258,-0.605063,2.233398
0.336475,0.099758,-0.110063,1.233398
0.392725,0.056446,-0.790688,2.358398
0.542725,0.006946,-0.295688,1.358398
0.317725,0.031696,-0.543188,1.858398
0.467725,0.081196,-0.048188,2.858398
0.580225,0.068821,-0.666938,2.608398
0.430225,0.019321,-0.171938,1.608398
0.505225,0.044071,-0.914438,1.108398
0.355225,0.093571,-0.419438,2.108398
0.308350,0.084290,-0.264751,1.920898
0.458350,0.034790,-0.759751,2.920898
0.383350,0.010040,-0.017251,2.420898
0.533350,0.059540,-0.512251,1.420898
0.495850,0.096665,-0.141001,1.170898
0.345850,0.047165,-0.636001,2.170898
0.570850,0.022415,-0.388501,2.670898
0.420850,0.071915,-0.883501,1.670898
0.364600,0.078102,-0.202876,2.795898
0.514600,0.028602,-0.697876,1.795898
0.439600,0.003852,-0.450376,1.295898
0.589600,0.053352,-0.945376,2.295898
0.477100,0.090477,-0.326626,2.045898
0.327100,0.040977,-0.821626,1.045898
0.552100,0.016227,-0.079126,1.545898
0.402100,0.065727,-0.574126,2.545898
0.434692,0.098477,-0.392126,1.282715
0.584692,0.048977,-0.887126,2.282715
0.359692,0.024227,-0.144626,2.782715
0.509692,0.073727,-0.639626,1.782715
0.547192,0.086102,-0.020876,1.532715
0.397192,0.036602,-0.515876,2.532715
0.472192,0.011852,-0.268376,2.032715
0.322192,0.061352,-0.763376,1.032715
0.378442,0.092290,-0.082751,2.407715
0.528442,0.042790,-0.577751,1.407715
0.303442,0.018040,-0.330251,1.907715
0.453442,0.067540,-0.825251,2.907715
0.565942,0.079915,-0.454001,2.657715
0.415942,0.030415,-0.949001,1.657715
0.490942,0.005665,-0.206501,1.157715
0.340942,0.055165,-0.701501,2.157715
0.312817,0.070634,-0.608689,1.845215
0.462817,0.021134,-0.113689,2.845215
0.387817,0.045884,-0.856189,2.345215
0.537817,0.095384,-0.361189,1.345215
0.500317,0.058259,-0.979939,1.095215
0.350317,0.008759,-0.484939,2.095215
0.575317,0.033509,-0.732439,2.595215
0.425317,0.083009,-0.237439,1.595215
0.369067,0.064446,-0.918064,2.970215
0.519067,0.014946,-0.423064,1.970215
0.444067,0.039696,-0.670564,1.470215
0.594067,0.089196,-0.175564,2.470215
0.481567,0.052071,-0.546814,2.220215
0.331567,0.002571,-0.051814,1.220215
0.556567,0.027321,-0.794314,1.720215
0.406567,0.076821,-0.299314,2.720215
0.523755,0.007212,-0.871658,2.501465
0.373755,0.056712,-0.376658,1.501465
0.598755,0.081462,-0.624158,1.001465
0.448755,0.031962,-0.129158,2.001465
0.336255,0.019587,-0.747908,2.251465
0.486255,0.069087,-0.252908,1.251465
0.411255,0.093837,-0.995408,1.751465
0.561255,0.044337,-0.500408,2.751465
0.467505,0.001024,-0.686033,1.626465
0.317505,0.050524,-0.191033,2.626465
0.542505,0.075274,-0.933533,2.126465
0.392505,0.025774,-0.438533,1.126465
0.355005,0.013399,-0.809783,1.376465
0.505005,0.062899,-0.314783,2.376465
0.430005,0.087649,-0.562283,2.876465
0.580005,0.038149,-0.067283,1.876465
0.533130,0.035055,-0.160095,2.063965
0.383130,0.084555,-0.655095,1.063965
0.458130,0.059805,-0.407595,1.563965
0.308130,0.010305,-0.902595,2.563965
