theta_sat,theta_res,vGn_alpha,vGn_n
0.313916,0.024928,-0.991782,2.415039
0.463916,0.074428,-0.496782,1.415039
0.388916,0.099178,-0.744282,1.915039
0.538916,0.049678,-0.249282,2.915039
0.351416,0.062053,-0.620532,1.665039
0.501416,0.012553,-0.125532,2.665039
0.426416,0.037303,-0.868032,2.165039
0.576416,0.086803,-0.373032,1.165039
0.332666,0.080616,-0.558657,2.790039
0.482666,0.031116,-0.063657,1.790039
0.407666,0.006366,-0.806157,1.290039
0.557666,0.055866,-0.311157,2.290039
0.370166,0.043491,-0.929907,1.040039
0.520166,0.092991,-0.434907,2.040039
0.445166,0.068241,-0.682407,2.540039
0.595166,0.018741,-0.187407,1.540039
0.309229,0.048131,-0.728813,1.258789
0.459229,0.097631,-0.233813,2.258789
0.384229,0.072881,-0.976313,2.758789
0.534229,0.023381,-0.481313,1.758789
0.346729,0.085256,-0.852563,2.508789
0.496729,0.035756,-0.357563,1.508789
0.421729,0.011006,-0.605063,1.008789
0.571729,0.060506,-0.110063,2.008789
0.327979,0.054319,-0.790688,1.883789
0.477979,0.004819,-0.295688,2.883789
0.402979,0.029569,-0.543188,2.383789
0.552979,0.079069,-0.048188,1.383789
0.365479,0.017194,-0.666938,2.133789
0.515479,0.066694,-0.171938,1.133789
0.440479,0.091444,-0.914438,1.633789
0.590479,0.041944,-0.419438,2.633789
0.318604,0.094538,-0.264751,1.196289
0.468604,0.045038,-0.759751,2.196289
0.393604,0.020288,-0.017251,2.696289
0.543604,0.069788,-0.512251,1.696289
0.356104,0.032663,-0.141001,2.946289
0.506104,0.082163,-0.636001,1.946289
0.431104,0.057413,-0.388501,1.446289
0.581104,0.007913,-0.883501,2.446289
0.337354,0.001725,-0.202876,1.571289
0.487354,0.051225,-0.697876,2.571289
0.412354,0.075975,-0.450376,2.071289
0.562354,0.026475,-0.945376,1.071289
0.374854,0.063600,-0.326626,2.321289
0.524854,0.014100,-0.821626,1.321289
0.449854,0.038850,-0.079126,1.821289
0.599854,0.088350,-0.574126,2.821289
0.300073,0.094175,-0.392126,1.481934
0.450073,0.044675,-0.887126,2.481934
0.375073,0.019925,-0.144626,2.981934
0.525073,0.069425,-0.639626,1.981934
0.337573,0.032300,-0.020876,2.731934
0.487573,0.081800,-0.515876,1.731934
0.412573,0.057050,-0.268376,1.231934
0.562573,0.007550,-0.763376,2.231934
0.318823,0.001363,-0.082751,1.856934
0.468823,0.050863,-0.577751,2.856934
0.393823,0.075613,-0.330251,2.356934
0.543823,0.026113,-0.825251,1.356934
0.356323,0.063238,-0.454001,2.106934
0.506323,0.013738,-0.949001,1.106934
0.431323,0.038488,-0.206501,1.606934
0.581323,0.087988,-0.701501,2.606934
0.309448,0.047769,-0.608689,1.044434
0.459448,0.097269,-0.113689,2.044434
0.384448,0.072519,-0.856189,2.544434
0.534448,0.023019,-0.361189,1.544434
0.346948,0.084894,-0.979939,2.794434
0.496948,0.035394,-0.484939,1.794434
0.421948,0.010644,-0.732439,1.294434
0.571948,0.060144,-0.237439,2.294434
0.328198,0.053956,-0.918064,1.669434
0.478198,0.004456,-0.423064,2.669434
0.403198,0.029206,-0.670564,2.169434
0.553198,0.078706,-0.175564,1.169434
0.365698,0.016831,-0.546814,2.419434
0.515698,0.066331,-0.051814,1.419434
0.440698,0.091081,-0.794314,1.919434
0.590698,0.041581,-0.299314,2.919434
0.304761,0.024566,-0.871658,2.138184
0.454761,0.074066,-0.376658,1.138184
0.379761,0.098816,-0.624158,1.638184
0.529761,0.049316,-0.129158,2.638184
0.342261,0.061691,-0.747908,1.888184
0.492261,0.012191,-0.252908,2.888184
0.417261,0.036941,-0.995408,2.388184
0.567261,0.086441,-0.500408,1.388184
0.323511,0.080253,-0.686033,2.513184
0.473511,0.030753,-0.191033,1.513184
0.398511,0.006003,-0.933533,1.013184
0.548511,0.055503,-0.438533,2.013184
0.361011,0.043128,-0.809783,1.263184
0.511011,0.092628,-0.314783,2.263184
0.436011,0.067878,-0.562283,2.763184
0.586011,0.018378,-0.067283,1.763184
0.314136,0.070972,-0.160095,2.325684
0.464136,0.021472,-0.655095,1.325684
0.389136,0.046222,-0.407595,1.825684
0.539136,0.095722,-0.902595,2.825684
