theta_sat,theta_res,vGn_alpha,vGn_n
0.327832,0.016952,-0.188857,1.341797
0.508740,0.085546,-0.810991,1.069336
0.390381,0.085933,-0.049155,2.233398
0.572607,0.028892,-0.232847,1.198242
0.373389,0.062150,-0.240581,2.557617
0.458936,0.023091,-0.801323,1.721680
0.415283,0.066887,-0.053989,2.793945
0.550049,0.088930,-0.900903,2.067383
0.310400,0.041557,-0.682407,1.532227
0.504932,0.019127,-0.752017,2.829102
0.407666,0.006366,-0.585728,1.290039
0.595386,0.064784,-0.057615,1.700684
0.343433,0.039648,-0.363123,2.770996
0.469409,0.001169,-0.848455,1.423340
0.438940,0.052990,-0.546814,1.688965
0.538550,0.092822,-0.542947,1.868652
0.333179,0.052119,-0.598054,1.038574
0.517163,0.059467,-0.269343,1.718262
0.375952,0.044578,-0.120457,2.714355
0.570483,0.022149,-0.066316,1.917480
0.360718,0.071262,-0.774011,1.706543
0.464282,0.058355,-0.484456,1.900879
0.423267,0.028578,-0.882776,2.846191
0.561548,0.094320,-0.271760,1.143066
0.307837,0.071697,-0.985256,1.896973
0.491821,0.065123,-0.161545,1.357910
0.398950,0.042983,-0.841204,2.297363
0.582935,0.050331,-0.063899,2.945801
0.355591,0.013979,-0.411946,1.242676
0.481567,0.026548,-0.893411,2.590332
0.447583,0.023841,-0.974622,1.426270
0.529724,0.002752,-0.300402,1.656494
0.319958,0.053412,-0.505363,1.961182
0.514490,0.075842,-0.574972,2.664307
0.387341,0.091504,-0.232726,2.949463
0.578357,0.033110,-0.399015,2.535400
0.365955,0.056796,-0.951056,2.603760
0.451501,0.022378,-0.026798,1.674072
0.421033,0.069558,-0.343907,1.439697
0.547009,0.082513,-0.836974,2.849854
0.316150,0.045775,-0.941388,2.201416
0.497058,0.050560,-0.079489,2.460205
0.410339,0.096193,-0.953473,2.038330
0.594324,0.089619,-0.168434,2.718018
0.340613,0.063902,-0.595758,2.464111
0.475378,0.092133,-0.483610,2.675049
0.431726,0.047757,-0.743678,1.872314
0.541882,0.028421,-0.472975,2.325439
0.332117,0.077534,-0.739811,2.052002
0.521375,0.098610,-0.045651,1.751221
0.381921,0.061099,-0.745612,1.462158
0.562610,0.059963,-0.631288,1.294678
0.363391,0.031345,-0.639022,2.966553
0.463000,0.015490,-0.635155,2.599365
0.427258,0.086453,-0.335448,2.829834
0.554993,0.025738,-0.254237,2.790771
0.300403,0.072434,-0.214598,1.945068
0.494934,0.099505,-0.160458,2.679443
0.397668,0.086743,-0.063778,1.202881
0.586926,0.089256,-0.723134,2.995850
0.349036,0.093510,-0.115985,2.816162
0.487317,0.035503,-0.727001,1.175537
0.443225,0.042318,-0.103900,2.916748
0.528772,0.080604,-0.935345,1.862061
0.324280,0.039805,-0.299193,2.944092
0.508264,0.047152,-0.573763,2.311279
0.393420,0.054113,-0.117435,2.264404
0.574768,0.085341,-0.613402,2.688232
0.372034,0.095009,-0.818363,2.164795
0.455823,0.083214,-0.808695,2.668701
0.414807,0.003937,-0.340765,1.582764
0.553088,0.069679,-0.967250,2.410889
0.311737,0.093347,-0.324390,1.422241
0.502753,0.034953,-0.057554,1.086304
0.403729,0.095474,-0.813589,1.246460
0.598260,0.069951,-0.867730,2.387085
0.346307,0.046361,-0.546754,1.082397
0.471405,0.083776,-0.741080,1.275757
0.437421,0.068694,-0.628931,2.736694
0.535272,0.027508,-0.302154,1.396851
0.336053,0.057672,-0.294420,2.849976
0.520038,0.051098,-0.576724,2.404663
0.377509,0.003483,-0.132481,2.163452
0.568524,0.075026,-0.267833,2.327515
0.357001,0.074060,-0.385782,1.729858
0.467157,0.051630,-0.671954,2.214233
0.426141,0.032681,-0.196290,1.034546
0.558270,0.035291,-0.512432,1.622437
0.306317,0.062748,-0.841143,2.911499
0.488544,0.005707,-0.897217,1.876343
0.401825,0.048246,-0.038702,1.610718
0.585809,0.041672,-0.862413,1.134155
0.351654,0.084622,-0.245838,1.294800
0.479388,0.023907,-0.350252,1.333862
0.448920,0.074180,-0.033143,1.536987
0.532709,0.060839,-0.112420,1.033081
0.322943,0.010952,-0.820115,1.337769
0.511322,0.088006,-0.817215,1.382690
0.385931,0.030385,-0.581317,2.562378
0.580463,0.006408,-0.511707,1.828003
