theta_sat,theta_res,vGn_alpha,vGn_n
0.300182,0.079787,-0.876292,1.230337
0.494714,0.055810,-0.945901,2.402212
0.397448,0.068572,-0.849222,1.972525
0.586706,0.059484,-0.429632,2.210806
0.348815,0.061418,-0.812483,2.109243
0.487096,0.017332,-0.433499,1.906118
0.443444,0.072729,-0.668431,2.579947
0.528991,0.012788,-0.370657,1.634634
0.324499,0.072149,-0.972005,2.560415
0.508483,0.064801,-0.148294,2.193228
0.393639,0.036184,-0.666497,2.240103
0.574328,0.035773,-0.718946,2.001333
0.371593,0.044668,-0.978047,2.602896
0.455382,0.034806,-0.898770,2.106802
0.414367,0.052209,-0.500450,1.145865
0.552648,0.020498,-0.863965,2.848990
0.312121,0.047858,-0.145635,2.729849
0.503136,0.075315,-0.497549,2.753286
0.404113,0.039544,-0.743116,2.913443
0.598644,0.015567,-0.688975,1.710318
0.346691,0.088657,-0.971280,2.765005
0.471349,0.088125,-0.666255,2.146841
0.437365,0.059895,-0.708794,1.873404
0.535216,0.045780,-0.378150,2.025747
0.335998,0.065116,-0.370416,1.728872
0.519982,0.071690,-0.528970,1.017935
0.377892,0.057284,-0.435191,1.996450
0.568908,0.016679,-0.199292,1.519888
0.357384,0.017646,-0.085210,2.422232
0.467541,0.009138,-0.850914,1.875357
0.426525,0.077587,-0.266968,2.867544
0.557885,0.010117,-0.915085,1.965445
0.305932,0.081660,-0.741061,2.504507
0.488158,0.026939,-0.561237,1.531851
0.401440,0.021525,-0.429753,1.953726
0.585424,0.015724,-0.719792,1.289663
0.351928,0.078083,-0.807770,1.928335
0.479662,0.015048,-0.649216,1.951773
0.449193,0.063774,-0.966325,1.186148
0.532983,0.052753,-0.910251,1.682241
0.323217,0.003639,-0.148415,1.940054
0.511156,0.037816,-0.276515,1.448843
0.385766,0.095437,-0.040617,2.612906
0.580297,0.069913,-0.094758,1.753531
0.368774,0.069720,-0.220441,2.163687
0.454320,0.009779,-0.757980,1.124624
0.417699,0.019543,-0.507580,2.657827
0.545434,0.080258,-0.921369,2.712515
0.318090,0.057828,-0.511447,1.478140
0.500317,0.001561,-0.699006,2.450796
0.410082,0.053768,-0.130529,1.161734
0.590771,0.054904,-0.016689,1.079214
0.338818,0.030540,-0.345400,2.383902
0.477099,0.097830,-0.956415,1.618277
0.434325,0.066699,-0.532958,1.090933
0.540966,0.041562,-0.018622,1.739370
0.328564,0.067375,-0.589999,1.682730
0.523095,0.092899,-0.535859,2.948355
0.383642,0.054614,-0.199413,2.268667
0.565868,0.010721,-0.023456,1.303824
0.363134,0.019616,-0.313495,1.842886
0.459667,0.073611,-0.471567,1.255972
0.429198,0.024885,-0.154457,1.615347
0.556933,0.087146,-0.313012,1.513784
0.303222,0.060269,-0.945297,1.259878
0.494237,0.013477,-0.678461,1.220816
0.394335,0.026915,-0.857319,2.918081
0.588866,0.002938,-0.787709,1.714956
0.350976,0.006419,-0.420326,1.597769
0.483984,0.078155,-0.441596,2.953238
0.442968,0.008933,-0.955932,1.789175
0.525001,0.032909,-0.307530,2.255487
0.325782,0.052244,-0.315265,1.989862
0.509766,0.059592,-0.589835,1.263300
0.389649,0.009512,-0.723253,1.868769
0.573634,0.002938,-0.394542,1.376581
0.374415,0.082602,-0.386808,2.860956
0.457325,0.021210,-0.793829,1.655878
0.416309,0.090433,-0.325899,2.601191
0.549317,0.019083,-0.335567,1.956659
0.311427,0.015603,-0.965919,1.855097
0.505958,0.039579,-0.896310,2.526972
0.405616,0.062928,-0.953834,1.877558
0.596632,0.010721,-0.663795,1.604120
0.342921,0.037598,-0.097252,1.358027
0.470655,0.074336,-0.495572,1.272089
0.440186,0.024062,-0.193932,1.600214
0.537159,0.007530,-0.444332,1.727167
0.334425,0.023386,-0.247105,1.125605
0.516651,0.066891,-0.067281,2.160761
0.377198,0.080427,-0.728570,2.621698
0.571729,0.054903,-0.674430,1.762323
0.358668,0.010455,-0.649535,1.117304
0.465308,0.085091,-0.135199,1.703241
0.422535,0.054734,-0.334359,1.238398
0.560816,0.024570,-0.945375,2.754023
0.308863,0.098433,-0.655335,1.714960
0.490211,0.066239,-0.138099,1.267695
0.399976,0.014032,-0.551888,2.119257
0.582203,0.069913,-0.751048,1.091913
