theta_sat,theta_res,vGn_alpha,vGn_n
0.300182,0.016952,-0.188857,1.341797
0.494714,0.085546,-0.810991,1.069336
0.397448,0.085933,-0.049155,2.233398
0.586706,0.028892,-0.232847,1.198242
0.348815,0.062150,-0.240581,2.557617
0.487096,0.023091,-0.801323,1.721680
0.443444,0.066887,-0.053989,2.793945
0.528991,0.088930,-0.900903,2.067383
0.324499,0.041557,-0.682407,1.532227
0.508483,0.019127,-0.752017,2.829102
0.393639,0.006366,-0.585728,1.290039
0.574328,0.064784,-0.057615,1.700684
0.371593,0.039648,-0.363123,2.770996
0.455382,0.001169,-0.848455,1.423340
0.414367,0.052990,-0.546814,1.688965
0.552648,0.092822,-0.542947,1.868652
0.312121,0.052119,-0.598054,1.038574
0.503136,0.059467,-0.269343,1.718262
0.404113,0.044578,-0.120457,2.714355
0.598644,0.022149,-0.066316,1.917480
0.346691,0.071262,-0.774011,1.706543
0.471349,0.058355,-0.484456,1.900879
0.437365,0.028578,-0.882776,2.846191
0.535216,0.094320,-0.271760,1.143066
0.335998,0.071697,-0.985256,1.896973
0.519982,0.065123,-0.161545,1.357910
0.377892,0.042983,-0.841204,2.297363
0.568908,0.050331,-0.063899,2.945801
0.357384,0.013979,-0.411946,1.242676
0.467541,0.026548,-0.893411,2.590332
0.426525,0.023841,-0.974622,1.426270
0.557885,0.002752,-0.300402,1.656494
0.305932,0.053412,-0.505363,1.961182
0.488158,0.075842,-0.574972,2.664307
0.401440,0.091504,-0.232726,2.949463
0.585424,0.033110,-0.399015,2.535400
0.351928,0.056796,-0.951056,2.603760
0.479662,0.022378,-0.026798,1.674072
0.449193,0.069558,-0.343907,1.439697
0.532983,0.082513,-0.836974,2.849854
0.323217,0.045775,-0.941388,2.201416
0.511156,0.050560,-0.079489,2.460205
0.385766,0.096193,-0.953473,2.038330
0.580297,0.089619,-0.168434,2.718018
0.368774,0.063902,-0.595758,2.464111
0.454320,0.092133,-0.483610,2.675049
0.417699,0.047757,-0.743678,1.872314
0.545434,0.028421,-0.472975,2.325439
0.318090,0.077534,-0.739811,2.052002
0.500317,0.098610,-0.045651,1.751221
0.410082,0.061099,-0.745612,1.462158
0.590771,0.059963,-0.631288,1.294678
0.338818,0.031345,-0.639022,2.966553
0.477099,0.015490,-0.635155,2.599365
0.434325,0.086453,-0.335448,2.829834
0.540966,0.025738,-0.254237,2.790771
0.328564,0.072434,-0.214598,1.945068
0.523095,0.099505,-0.160458,2.679443
0.383642,0.086743,-0.063778,1.202881
0.565868,0.089256,-0.723134,2.995850
0.363134,0.093510,-0.115985,2.816162
0.459667,0.035503,-0.727001,1.175537
0.429198,0.042318,-0.103900,2.916748
0.556933,0.080604,-0.935345,1.862061
0.303222,0.039805,-0.299193,2.944092
0.494237,0.047152,-0.573763,2.311279
0.394335,0.054113,-0.117435,2.264404
0.588866,0.085341,-0.613402,2.688232
0.350976,0.095009,-0.818363,2.164795
0.483984,0.083214,-0.808695,2.668701
0.442968,0.003937,-0.340765,1.582764
0.525001,0.069679,-0.967250,2.410889
0.325782,0.093347,-0.324390,1.422241
0.509766,0.034953,-0.057554,1.086304
0.389649,0.095474,-0.813589,1.246460
0.573634,0.069951,-0.867730,2.387085
0.374415,0.046361,-0.546754,1.082397
0.457325,0.083776,-0.741080,1.275757
0.416309,0.068694,-0.628931,2.736694
0.549317,0.027508,-0.302154,1.396851
0.311427,0.057672,-0.294420,2.849976
0.505958,0.051098,-0.576724,2.404663
0.405616,0.003483,-0.132481,2.163452
0.596632,0.075026,-0.267833,2.327515
0.342921,0.074060,-0.385782,1.729858
0.470655,0.051630,-0.671954,2.214233
0.440186,0.032681,-0.196290,1.034546
0.537159,0.035291,-0.512432,1.622437
0.334425,0.062748,-0.841143,2.911499
0.516651,0.005707,-0.897217,1.876343
0.377198,0.048246,-0.038702,1.610718
0.571729,0.041672,-0.862413,1.134155
0.358668,0.084622,-0.245838,1.294800
0.465308,0.023907,-0.350252,1.333862
0.422535,0.074180,-0.033143,1.536987
0.560816,0.060839,-0.112420,1.033081
0.308863,0.010952,-0.820115,1.337769
0.490211,0.088006,-0.817215,1.382690
0.399976,0.030385,-0.581317,2.562378
0.582203,0.006408,-0.511707,1.828003
